Country,City,CityId,Latitude,Longitude
Belgium,Bievre,2350,49.921964000,5.019706000
Belgium,Bilzen,2351,50.872172000,5.533544000
Belgium,Binche,2352,50.408736000,4.177155000
Belgium,Blankenberge,2353,51.300351000,3.140392000
Belgium,Blegny,2354,50.674556000,5.708982000
Belgium,Bocholt,2355,51.187061000,5.563827000
Belgium,Boechout,2356,51.165746000,4.516647000
Belgium,Bonheiden,2357,51.020741000,4.570833000
Belgium,Boom,2358,51.093541000,4.372960000
Belgium,Boortmeerbeek,2359,50.980034000,4.560966000
Belgium,Borgloon,2360,50.804817000,5.340820000
Belgium,Bornem,2361,51.095385000,4.242914000
Belgium,Borsbeek,2362,51.191497000,4.487767000
Belgium,Bouillon,2363,49.805972000,5.083260000
Belgium,Boussu,2364,50.427132000,3.799679000
Belgium,Boutersem,2365,50.835209000,4.842734000
Belgium,Braine-L'Alleud,2366,50.673215000,4.354748000
Belgium,Braine-Le-Chateau,2367,50.679666000,4.284133000
Belgium,Braine-Le-Comte,2368,50.616171000,4.142400000
Belgium,Braives,2369,50.615443000,5.149461000
Belgium,Brakel,2370,50.797961000,3.757937000
Belgium,Brasschaat,2371,51.309606000,4.500523000
Belgium,Brecht,2372,51.335981000,4.628286000
Belgium,Bredene,2373,51.236642000,2.977580000
Belgium,Bree,2374,51.141933000,5.632442000
Belgium,Brugelette,2375,50.602093000,3.867237000
Belgium,Brugge,2376,51.247815000,3.215089000
Belgium,Brunehaut,2377,50.527128000,3.395134000
Belgium,Brussels,191,50.800000000,4.350000000
Belgium,Buggenhout,2378,51.011802000,4.199004000
Belgium,Bullingen,2379,50.395996000,6.313856000
Belgium,Burdinne,2380,50.582647000,5.099710000
Belgium,Burg-Reuland,2381,50.203518000,6.093006000
Belgium,Butgenbach,2382,50.464511000,6.209255000
Belgium,Celles,2383,50.703723000,3.449090000
Belgium,Cerfontaine,2384,50.179544000,4.436844000
Belgium,Chapelle-Lez-Herlaimont,2385,50.462409000,4.287485000
Belgium,Charleroi,2386,50.421044000,4.434630000
Belgium,Chastre,2387,50.589413000,4.623405000
Belgium,Chatelet,2388,50.397135000,4.522271000
Belgium,Chaudfontaine,2389,50.581482000,5.633693000
Belgium,Chaumont-Gistoux,2390,50.687105000,4.690592000
Belgium,Chievres,2391,50.571168000,3.783994000
Belgium,Chimay,2392,50.040875000,4.324198000
Belgium,Chiny,2393,49.720320000,5.391590000
Belgium,Ciney,2394,50.269497000,5.122515000
Belgium,Clavier,2395,50.412943000,5.335956000
Belgium,Colfontaine,2396,50.405765000,3.844286000
Belgium,Comblain-Au-Pont,2397,50.481671000,5.579952000
Belgium,Comines-Warneton,2398,50.751618000,2.930338000
Belgium,Courcelles,2399,50.472501000,4.341038000
Belgium,Court-Saint-Etienne,2400,50.626549000,4.562737000
Belgium,Couvin,2401,50.037874000,4.480891000
Belgium,Crisnee,2402,50.710577000,5.396693000
Belgium,Dalhem,2403,50.720745000,5.759063000
Belgium,Damme,2404,51.252205000,3.327501000
Belgium,Daverdisse,2405,50.004236000,5.066464000
Belgium,De Haan,2406,51.259232000,3.047745000
Belgium,De Panne,2407,51.078804000,2.589860000
Belgium,De Pinte,2408,50.985851000,3.668989000
Belgium,Deerlijk,2409,50.842559000,3.366204000
Belgium,Deinze,2410,50.990354000,3.516310000
Belgium,Denderleeuw,2411,50.886367000,4.058078000
Belgium,Dendermonde,2412,51.027509000,4.090539000
Belgium,Dentergem,2413,50.953279000,3.406559000
Belgium,Dessel,2414,51.241535000,5.122080000
Belgium,Destelbergen,2415,51.044247000,3.809327000
Belgium,Diepenbeek,2416,50.911434000,5.417386000
Belgium,Diest,2417,51.001503000,5.069185000
Belgium,Diksmuide,2418,51.047372000,2.854249000
Belgium,Dilbeek,2419,50.853247000,4.233819000
Belgium,Dilsen-Stokkem,2420,51.036083000,5.712227000
Belgium,Dinant,2421,50.249418000,4.943007000
Belgium,Dison,2422,50.614058000,5.874543000
Belgium,Doische,2423,50.144246000,4.698946000
Belgium,Donceel,2424,50.649366000,5.325866000
Belgium,Dour,2425,50.387353000,3.787112000
Belgium,Drogenbos,2426,50.793647000,4.309003000
Belgium,Duffel,2427,51.095740000,4.514075000
Belgium,Durbuy,2428,50.360731000,5.488336000
Belgium,Ecaussinnes,2429,50.562676000,4.179443000
Belgium,Edegem,2430,51.156312000,4.432919000
Belgium,Eeklo,2431,51.194356000,3.562367000
Belgium,Eghezee,2432,50.586656000,4.893969000
Belgium,Ellezelles,2433,50.720579000,3.699134000
Belgium,Enghien,2434,50.677655000,4.030079000
Belgium,Engis,2435,50.557501000,5.388582000
Belgium,Erezee,2436,50.296587000,5.557906000
Belgium,Erpe-Mere,2437,50.921537000,3.952138000
Belgium,Erquelinnes,2438,50.303904000,4.138577000
